age_group,preop_vur_grade,bbd_severity,recommended_technique,deflux_volume_ml,predicted_reflux_fraction,reflux_resolution_threshold_0p05,predicted_obstruction_index,predicted_postop_grade,selection_mode,safe_candidates_n
12_18m,1,none,double_hit,0.6,0.000,resolved,0.133,0,within_ceiling,7
12_18m,1,moderate,double_hit,0.6,0.000,resolved,0.133,0,within_ceiling,7
12_18m,1,severe,double_hit,0.6,0.001,resolved,0.133,0,within_ceiling,7
12_18m,2,none,double_hit,0.6,0.000,resolved,0.133,0,within_ceiling,7
12_18m,2,moderate,double_hit,0.6,0.000,resolved,0.133,0,within_ceiling,7
12_18m,2,severe,double_hit,0.6,0.002,resolved,0.133,0,within_ceiling,7
12_18m,3,none,double_hit,0.6,0.000,resolved,0.130,0,within_ceiling,8
12_18m,3,moderate,double_hit,0.6,0.000,resolved,0.130,0,within_ceiling,8
12_18m,3,severe,double_hit,0.6,0.004,resolved,0.130,0,within_ceiling,8
12_18m,4,none,double_hit,0.8,0.000,resolved,0.134,0,within_ceiling,11
12_18m,4,moderate,double_hit,0.8,0.001,resolved,0.134,0,within_ceiling,11
12_18m,4,severe,double_hit,0.8,0.010,resolved,0.134,0,within_ceiling,11
12_18m,5,none,hit,0.6,0.074,persistent,0.139,1,within_ceiling,9
12_18m,5,moderate,double_hit_plus_sting,1.2,0.213,persistent,0.063,2,within_ceiling,9
12_18m,5,severe,double_hit_plus_sting,1.2,0.343,persistent,0.063,3,within_ceiling,9
18_24m,1,none,double_hit,0.6,0.000,resolved,0.132,0,within_ceiling,7
18_24m,1,moderate,double_hit,0.6,0.000,resolved,0.132,0,within_ceiling,7
18_24m,1,severe,double_hit,0.6,0.000,resolved,0.132,0,within_ceiling,7
18_24m,2,none,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,7
18_24m,2,moderate,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,7
18_24m,2,severe,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,7
18_24m,3,none,double_hit,0.6,0.000,resolved,0.128,0,within_ceiling,8
18_24m,3,moderate,double_hit,0.6,0.000,resolved,0.128,0,within_ceiling,8
18_24m,3,severe,double_hit,0.6,0.000,resolved,0.128,0,within_ceiling,8
18_24m,4,none,double_hit,0.8,0.000,resolved,0.132,0,within_ceiling,12
18_24m,4,moderate,double_hit,0.8,0.000,resolved,0.132,0,within_ceiling,12
18_24m,4,severe,double_hit,0.8,0.000,resolved,0.132,0,within_ceiling,12
18_24m,5,none,double_hit_plus_sting,1.5,0.010,resolved,0.079,0,within_ceiling,12
18_24m,5,moderate,double_hit_plus_sting,1.5,0.049,resolved,0.079,0,within_ceiling,12
18_24m,5,severe,double_hit_plus_sting,1.5,0.113,persistent,0.079,1,within_ceiling,12
24_60m,1,none,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,8
24_60m,1,moderate,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,8
24_60m,1,severe,double_hit,0.6,0.000,resolved,0.131,0,within_ceiling,8
24_60m,2,none,double_hit,0.6,0.000,resolved,0.130,0,within_ceiling,8
24_60m,2,moderate,double_hit,0.6,0.000,resolved,0.130,0,within_ceiling,8
24_60m,2,severe,double_hit,0.6,0.000,resolved,0.130,0,within_ceiling,8
24_60m,3,none,double_hit_plus_sting,1.0,0.000,resolved,0.110,0,within_ceiling,12
24_60m,3,moderate,double_hit,0.8,0.000,resolved,0.135,0,within_ceiling,12
24_60m,3,severe,double_hit,0.8,0.000,resolved,0.135,0,within_ceiling,12
24_60m,4,none,double_hit,1.0,0.000,resolved,0.138,0,within_ceiling,14
24_60m,4,moderate,double_hit,1.0,0.000,resolved,0.138,0,within_ceiling,14
24_60m,4,severe,double_hit,1.0,0.000,resolved,0.138,0,within_ceiling,14
24_60m,5,none,double_hit,1.2,0.022,resolved,0.084,0,within_ceiling,15
24_60m,5,moderate,double_hit,1.2,0.082,persistent,0.084,0,within_ceiling,15
24_60m,5,severe,double_hit,1.2,0.157,persistent,0.084,2,within_ceiling,15
5_10y,1,none,double_hit_plus_sting,1.0,0.000,resolved,0.098,0,within_ceiling,10
5_10y,1,moderate,double_hit_plus_sting,1.0,0.000,resolved,0.098,0,within_ceiling,10
5_10y,1,severe,double_hit,0.8,0.000,resolved,0.138,0,within_ceiling,10
5_10y,2,none,double_hit_plus_sting,1.0,0.000,resolved,0.061,0,within_ceiling,10
5_10y,2,moderate,double_hit,0.8,0.000,resolved,0.137,0,within_ceiling,10
5_10y,2,severe,double_hit,0.8,0.000,resolved,0.137,0,within_ceiling,10
5_10y,3,none,double_hit,1.0,0.000,resolved,0.142,0,within_ceiling,13
5_10y,3,moderate,double_hit,1.0,0.000,resolved,0.142,0,within_ceiling,13
5_10y,3,severe,double_hit,1.0,0.000,resolved,0.142,0,within_ceiling,13
5_10y,4,none,double_hit,1.2,0.000,resolved,0.104,0,within_ceiling,16
5_10y,4,moderate,double_hit,1.2,0.000,resolved,0.104,0,within_ceiling,16
5_10y,4,severe,double_hit,1.2,0.000,resolved,0.104,0,within_ceiling,16
5_10y,5,none,double_hit,1.5,0.027,resolved,0.086,0,within_ceiling,20
5_10y,5,moderate,double_hit,1.5,0.085,persistent,0.086,1,within_ceiling,20
5_10y,5,severe,double_hit,1.5,0.155,persistent,0.086,2,within_ceiling,20
10_16y,1,none,double_hit,1.0,0.000,resolved,0.146,0,within_ceiling,13
10_16y,1,moderate,double_hit,1.0,0.000,resolved,0.146,0,within_ceiling,13
10_16y,1,severe,double_hit,1.0,0.000,resolved,0.146,0,within_ceiling,13
10_16y,2,none,double_hit,1.0,0.000,resolved,0.124,0,within_ceiling,13
10_16y,2,moderate,double_hit,1.0,0.000,resolved,0.124,0,within_ceiling,13
10_16y,2,severe,double_hit,1.0,0.000,resolved,0.124,0,within_ceiling,13
10_16y,3,none,double_hit,1.2,0.000,resolved,0.098,0,within_ceiling,18
10_16y,3,moderate,double_hit,1.2,0.000,resolved,0.098,0,within_ceiling,18
10_16y,3,severe,double_hit,1.2,0.000,resolved,0.098,0,within_ceiling,18
