age_group,preop_vur_grade,bbd_severity,recommended_technique,deflux_volume_ml,predicted_reflux_fraction,predicted_reflux_volume_ml,predicted_antegrade_volume_ml,predicted_obstruction_index,predicted_postop_grade,selection_mode
12_18m,1,none,double_hit,0.6,0.000,0.000,0.553,0.133,0,within_ceiling
12_18m,1,moderate,double_hit,0.6,0.000,0.000,0.172,0.133,0,within_ceiling
12_18m,1,severe,double_hit,0.6,0.001,0.000,0.091,0.133,0,within_ceiling
12_18m,2,none,double_hit,0.6,0.000,0.000,0.529,0.133,0,within_ceiling
12_18m,2,moderate,double_hit,0.6,0.000,0.000,0.152,0.133,0,within_ceiling
12_18m,2,severe,double_hit,0.6,0.002,0.000,0.082,0.133,0,within_ceiling
12_18m,3,none,double_hit,0.6,0.000,0.000,0.510,0.130,0,within_ceiling
12_18m,3,moderate,double_hit,0.6,0.000,0.000,0.140,0.130,0,within_ceiling
12_18m,3,severe,double_hit,0.6,0.004,0.000,0.080,0.130,0,within_ceiling
12_18m,4,none,double_hit,0.8,0.000,0.000,0.480,0.134,0,within_ceiling
12_18m,4,moderate,double_hit,0.8,0.001,0.000,0.132,0.134,0,within_ceiling
12_18m,4,severe,double_hit,0.8,0.010,0.001,0.073,0.134,0,within_ceiling
12_18m,5,none,hit,0.6,0.074,0.038,0.482,0.139,1,within_ceiling
12_18m,5,moderate,double_hit_plus_sting,1.2,0.213,0.079,0.302,0.063,2,within_ceiling
12_18m,5,severe,double_hit_plus_sting,1.2,0.343,0.093,0.185,0.063,3,within_ceiling
18_24m,1,none,double_hit,0.6,0.000,0.000,0.502,0.132,0,within_ceiling
18_24m,1,moderate,double_hit,0.6,0.000,0.000,0.154,0.132,0,within_ceiling
18_24m,1,severe,double_hit,0.6,0.000,0.000,0.083,0.132,0,within_ceiling
18_24m,2,none,double_hit,0.6,0.000,0.000,0.481,0.131,0,within_ceiling
18_24m,2,moderate,double_hit,0.6,0.000,0.000,0.137,0.131,0,within_ceiling
18_24m,2,severe,double_hit,0.6,0.000,0.000,0.075,0.131,0,within_ceiling
18_24m,3,none,double_hit,0.6,0.000,0.000,0.463,0.128,0,within_ceiling
18_24m,3,moderate,double_hit,0.6,0.000,0.000,0.127,0.128,0,within_ceiling
18_24m,3,severe,double_hit,0.6,0.000,0.000,0.073,0.128,0,within_ceiling
18_24m,4,none,double_hit,0.8,0.000,0.000,0.437,0.132,0,within_ceiling
18_24m,4,moderate,double_hit,0.8,0.000,0.000,0.119,0.132,0,within_ceiling
18_24m,4,severe,double_hit,0.8,0.000,0.000,0.068,0.132,0,within_ceiling
18_24m,5,none,double_hit_plus_sting,1.5,0.010,0.005,0.561,0.079,0,within_ceiling
18_24m,5,moderate,double_hit_plus_sting,1.5,0.049,0.008,0.184,0.079,0,within_ceiling
18_24m,5,severe,double_hit_plus_sting,1.5,0.113,0.012,0.105,0.079,1,within_ceiling
24_60m,1,none,double_hit,0.6,0.000,0.000,0.488,0.131,0,within_ceiling
24_60m,1,moderate,double_hit,0.6,0.000,0.000,0.156,0.131,0,within_ceiling
24_60m,1,severe,double_hit,0.6,0.000,0.000,0.089,0.131,0,within_ceiling
24_60m,2,none,double_hit,0.6,0.000,0.000,0.470,0.130,0,within_ceiling
24_60m,2,moderate,double_hit,0.6,0.000,0.000,0.140,0.130,0,within_ceiling
24_60m,2,severe,double_hit,0.6,0.000,0.000,0.082,0.130,0,within_ceiling
24_60m,3,none,double_hit_plus_sting,1.0,0.000,0.000,0.483,0.110,0,within_ceiling
24_60m,3,moderate,double_hit,0.8,0.000,0.000,0.127,0.135,0,within_ceiling
24_60m,3,severe,double_hit,0.8,0.000,0.000,0.077,0.135,0,within_ceiling
24_60m,4,none,double_hit,1.0,0.000,0.000,0.418,0.138,0,within_ceiling
24_60m,4,moderate,double_hit,1.0,0.000,0.000,0.120,0.138,0,within_ceiling
24_60m,4,severe,double_hit,1.0,0.000,0.000,0.071,0.138,0,within_ceiling
24_60m,5,none,double_hit,1.2,0.022,0.012,0.567,0.084,0,within_ceiling
24_60m,5,moderate,double_hit,1.2,0.082,0.016,0.188,0.084,0,within_ceiling
24_60m,5,severe,double_hit,1.2,0.157,0.020,0.114,0.084,2,within_ceiling
5_10y,1,none,double_hit_plus_sting,1.0,0.000,0.000,0.555,0.098,0,within_ceiling
