age_group,initial_grade,bbd_severity_label,baseline_site_exponent,no_discount_site_exponent,baseline_technique,baseline_volume_ml,baseline_reflux_fraction,baseline_obstruction_index,no_discount_technique,no_discount_volume_ml,no_discount_reflux_fraction,no_discount_obstruction_index,no_discount_selection_mode,no_discount_safe_candidates_n,changed_vs_baseline,sampling_protocol
12_18m,1,none,0.50,0.00,double_hit,0.60,0.0000,0.1320,hit,0.60,0.0014,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,1,moderate,0.50,0.00,double_hit,0.60,0.0000,0.1320,hit,0.60,0.0071,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,1,severe,0.50,0.00,double_hit,0.60,0.0008,0.1320,hit,0.60,0.0184,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,none,0.50,0.00,double_hit,0.60,0.0000,0.1315,hit,0.60,0.0031,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,moderate,0.50,0.00,double_hit,0.60,0.0001,0.1315,hit,0.60,0.0157,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,severe,0.50,0.00,double_hit,0.60,0.0021,0.1315,hit,0.60,0.0380,0.1092,within_ceiling,5,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,none,0.50,0.00,double_hit,0.60,0.0000,0.1284,double_hit_plus_sting,0.60,0.0016,0.0648,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,moderate,0.50,0.00,double_hit,0.60,0.0004,0.1284,double_hit_plus_sting,0.60,0.0106,0.0648,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,severe,0.50,0.00,double_hit,0.60,0.0048,0.1284,double_hit_plus_sting,0.60,0.0285,0.0648,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,4,none,0.50,0.00,double_hit,0.80,0.0000,0.1328,double_hit,0.60,0.0058,0.0670,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,4,moderate,0.50,0.00,double_hit,0.80,0.0013,0.1328,double_hit,0.60,0.0317,0.0670,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
