v50_ml,k,age_group,initial_grade,bbd_severity_label,recommended_technique,deflux_volume_ml,reflux_fraction,obstruction_index,reference_technique,reference_volume_ml,changed_vs_reference,sampling_protocol
0.25,8.0,18_24m,1,none,double_hit,0.60,0.0000,0.1298,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1298,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1298,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,2,none,double_hit,0.60,0.0000,0.1296,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.1296,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,2,severe,double_hit,0.60,0.0000,0.1296,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,3,none,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,3,moderate,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,3,severe,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,4,none,double_hit_plus_sting,0.60,0.0000,0.0431,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,4,moderate,double_hit,0.60,0.0000,0.1251,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,4,severe,double_hit,0.60,0.0000,0.1251,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,5,none,double_hit_plus_sting,1.00,0.0002,0.0962,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,5,moderate,double_hit_plus_sting,1.00,0.0053,0.0962,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,8.0,18_24m,5,severe,double_hit_plus_sting,1.00,0.0258,0.0962,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,1,none,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,2,none,double_hit,0.60,0.0000,0.1305,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.1305,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,2,severe,double_hit,0.60,0.0000,0.1305,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,3,none,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,3,moderate,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,3,severe,double_hit,0.60,0.0000,0.1278,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,4,none,double_hit,0.60,0.0000,0.1239,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,4,moderate,double_hit,0.60,0.0000,0.1239,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,4,severe,double_hit,0.60,0.0000,0.1239,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,5,none,double_hit,0.80,0.0000,0.1356,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,5,moderate,double_hit,0.80,0.0000,0.1356,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,18_24m,5,severe,double_hit,0.80,0.0000,0.1356,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,1,none,double_hit,0.60,0.0000,0.1318,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1318,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1318,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,2,none,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,2,severe,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,3,none,double_hit_plus_sting,0.60,0.0000,0.1094,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,3,moderate,double_hit_plus_sting,0.60,0.0000,0.1094,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,3,severe,double_hit_plus_sting,0.60,0.0000,0.1094,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,4,none,double_hit_plus_sting,0.80,0.0000,0.0607,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,4,moderate,double_hit_plus_sting,0.80,0.0000,0.0607,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,4,severe,double_hit,0.60,0.0000,0.1227,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,5,none,double_hit_plus_sting,1.20,0.0000,0.1355,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,5,moderate,double_hit_plus_sting,1.20,0.0000,0.1355,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,18_24m,5,severe,double_hit_plus_sting,1.20,0.0008,0.1355,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,1,none,double_hit,0.60,0.0000,0.1253,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1253,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1253,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,2,none,double_hit,0.60,0.0000,0.1249,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.1249,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,2,severe,double_hit,0.60,0.0000,0.1249,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,3,none,double_hit_plus_sting,0.60,0.0000,0.0658,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,3,moderate,double_hit_plus_sting,0.60,0.0000,0.0658,double_hit,0.60,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,3,severe,double_hit,0.60,0.0000,0.1227,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,4,none,double_hit,0.60,0.0000,0.0506,double_hit,0.80,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,4,moderate,double_hit,0.80,0.0000,0.1264,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,4,severe,double_hit,0.80,0.0000,0.1264,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,5,none,double_hit,1.00,0.0000,0.1239,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,5,moderate,double_hit,1.00,0.0000,0.1239,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,18_24m,5,severe,double_hit,1.00,0.0035,0.1239,double_hit_plus_sting,1.50,1,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,1,none,double_hit,0.60,0.0000,0.1241,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,1,moderate,double_hit,0.60,0.0000,0.1241,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,1,severe,double_hit,0.60,0.0000,0.1241,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,2,none,double_hit,0.60,0.0000,0.1236,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,2,moderate,double_hit,0.60,0.0000,0.1236,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,2,severe,double_hit,0.60,0.0000,0.1236,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,3,none,double_hit,0.60,0.0000,0.1208,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,3,moderate,double_hit,0.60,0.0000,0.1208,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,3,severe,double_hit,0.60,0.0000,0.1208,double_hit,0.60,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,4,none,double_hit,0.80,0.0000,0.1240,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,4,moderate,double_hit,0.80,0.0000,0.1240,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,18_24m,4,severe,double_hit,0.80,0.0000,0.1240,double_hit,0.80,0,18_24m; female_reference; grade5_tortuosity_2.5
