obstruction_ceiling,age_group,initial_grade,bbd_severity_label,recommended_technique,deflux_volume_ml,reflux_fraction,obstruction_index,selection_mode,safe_candidates_n,reference_0p15_technique,reference_0p15_volume_ml,changed_vs_0p15
0.10,10_16y,1,moderate,double_hit_plus_sting,1.20,0.0004,0.0375,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,1,none,double_hit_plus_sting,1.20,0.0001,0.0375,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,1,severe,double_hit_plus_sting,1.20,0.0013,0.0375,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,2,moderate,double_hit_plus_sting,1.20,0.0017,0.0337,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,2,none,double_hit_plus_sting,1.20,0.0004,0.0337,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,2,severe,double_hit_plus_sting,1.20,0.0043,0.0337,within_ceiling,8,double_hit,1.00,1
0.10,10_16y,3,moderate,double_hit,1.20,0.0000,0.0976,within_ceiling,13,double_hit,1.20,0
0.10,10_16y,3,none,double_hit,1.20,0.0000,0.0976,within_ceiling,13,double_hit,1.20,0
0.10,10_16y,3,severe,double_hit,1.20,0.0001,0.0976,within_ceiling,13,double_hit,1.20,0
0.10,10_16y,4,moderate,double_hit,1.50,0.0010,0.0822,within_ceiling,19,double_hit,1.50,0
0.10,10_16y,4,none,double_hit,1.50,0.0000,0.0822,within_ceiling,19,double_hit,1.50,0
0.10,10_16y,4,severe,double_hit,1.50,0.0047,0.0822,within_ceiling,19,double_hit,1.50,0
0.10,10_16y,5,moderate,hit_plus_sting,2.00,0.1090,0.0862,within_ceiling,23,double_hit,2.00,1
0.10,10_16y,5,none,hit_plus_sting,2.00,0.0414,0.0862,within_ceiling,23,double_hit,2.00,1
0.10,10_16y,5,severe,hit_plus_sting,2.00,0.2013,0.0862,within_ceiling,23,double_hit,2.00,1
0.10,12_18m,1,moderate,hit,0.60,0.0075,0.1080,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,1,none,hit,0.60,0.0015,0.1080,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,1,severe,hit,0.60,0.0193,0.1080,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,2,moderate,hit,0.60,0.0165,0.1079,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,2,none,hit,0.60,0.0032,0.1079,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,2,severe,hit,0.60,0.0398,0.1079,fallback_min_obstruction,0,double_hit,0.60,1
0.10,12_18m,3,moderate,double_hit_plus_sting,0.60,0.0094,0.0393,within_ceiling,1,double_hit,0.60,1
0.10,12_18m,3,none,double_hit_plus_sting,0.60,0.0015,0.0393,within_ceiling,1,double_hit,0.60,1
0.10,12_18m,3,severe,double_hit_plus_sting,0.60,0.0247,0.0393,within_ceiling,1,double_hit,0.60,1
0.10,12_18m,4,moderate,double_hit,0.60,0.0295,0.0483,within_ceiling,4,double_hit,0.80,1
0.10,12_18m,4,none,double_hit,0.60,0.0056,0.0483,within_ceiling,4,double_hit,0.80,1
0.10,12_18m,4,severe,double_hit,0.60,0.0705,0.0483,within_ceiling,4,double_hit,0.80,1
0.10,12_18m,5,moderate,double_hit_plus_sting,1.20,0.2161,0.0618,within_ceiling,8,double_hit_plus_sting,1.20,0
0.10,12_18m,5,none,double_hit_plus_sting,1.20,0.0842,0.0618,within_ceiling,8,hit,0.60,1
0.10,12_18m,5,severe,double_hit_plus_sting,1.20,0.3506,0.0618,within_ceiling,8,double_hit_plus_sting,1.20,0
0.10,18_24m,1,moderate,hit,0.60,0.0036,0.1087,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,1,none,hit,0.60,0.0006,0.1087,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,1,severe,hit,0.60,0.0104,0.1087,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,2,moderate,hit,0.60,0.0084,0.1086,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,2,none,hit,0.60,0.0013,0.1086,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,2,severe,hit,0.60,0.0224,0.1086,fallback_min_obstruction,0,double_hit,0.60,1
0.10,18_24m,3,moderate,double_hit_plus_sting,0.60,0.0155,0.0216,within_ceiling,1,double_hit,0.60,1
0.10,18_24m,3,none,double_hit_plus_sting,0.60,0.0039,0.0216,within_ceiling,1,double_hit,0.60,1
0.10,18_24m,3,severe,double_hit_plus_sting,0.60,0.0330,0.0216,within_ceiling,1,double_hit,0.60,1
0.10,18_24m,4,moderate,double_hit_plus_sting,1.00,0.0108,0.0388,within_ceiling,5,double_hit,0.80,1
0.10,18_24m,4,none,double_hit_plus_sting,1.00,0.0016,0.0388,within_ceiling,5,double_hit,0.80,1
0.10,18_24m,4,severe,double_hit_plus_sting,1.00,0.0305,0.0388,within_ceiling,5,double_hit,0.80,1
0.10,18_24m,5,moderate,double_hit_plus_sting,1.50,0.0518,0.0791,within_ceiling,11,double_hit_plus_sting,1.50,0
0.10,18_24m,5,none,double_hit_plus_sting,1.50,0.0103,0.0791,within_ceiling,11,double_hit_plus_sting,1.50,0
0.10,18_24m,5,severe,double_hit_plus_sting,1.50,0.1192,0.0791,within_ceiling,11,double_hit_plus_sting,1.50,0
0.10,24_60m,1,moderate,double_hit_plus_sting,0.60,0.0008,0.0284,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,1,none,double_hit_plus_sting,0.60,0.0001,0.0284,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,1,severe,double_hit_plus_sting,0.60,0.0024,0.0284,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,2,moderate,double_hit_plus_sting,0.60,0.0029,0.0247,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,2,none,double_hit_plus_sting,0.60,0.0006,0.0247,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,2,severe,double_hit_plus_sting,0.60,0.0073,0.0247,within_ceiling,1,double_hit,0.60,1
0.10,24_60m,3,moderate,double_hit,0.60,0.0042,0.0407,within_ceiling,4,double_hit,0.80,1
0.10,24_60m,3,none,double_hit,0.60,0.0007,0.0407,within_ceiling,4,double_hit_plus_sting,1.00,1
0.10,24_60m,3,severe,double_hit,0.60,0.0114,0.0407,within_ceiling,4,double_hit,0.80,1
0.10,24_60m,4,moderate,double_hit_plus_sting,1.20,0.0201,0.0316,within_ceiling,8,double_hit,1.00,1
0.10,24_60m,4,none,double_hit_plus_sting,1.20,0.0049,0.0316,within_ceiling,8,double_hit,1.00,1
0.10,24_60m,4,severe,double_hit_plus_sting,1.20,0.0436,0.0316,within_ceiling,8,double_hit,1.00,1
0.10,24_60m,5,moderate,double_hit,1.20,0.0822,0.0836,within_ceiling,15,double_hit,1.20,0
0.10,24_60m,5,none,double_hit,1.20,0.0221,0.0836,within_ceiling,15,double_hit,1.20,0
0.10,24_60m,5,severe,double_hit,1.20,0.1574,0.0836,within_ceiling,15,double_hit,1.20,0
0.10,5_10y,1,moderate,double_hit_plus_sting,1.00,0.0000,0.0981,within_ceiling,5,double_hit_plus_sting,1.00,0
0.10,5_10y,1,none,double_hit_plus_sting,1.00,0.0000,0.0981,within_ceiling,5,double_hit_plus_sting,1.00,0
0.10,5_10y,1,severe,double_hit_plus_sting,1.00,0.0000,0.0981,within_ceiling,5,double_hit,0.80,1
0.10,5_10y,2,moderate,double_hit_plus_sting,1.00,0.0001,0.0605,within_ceiling,5,double_hit,0.80,1
0.10,5_10y,2,none,double_hit_plus_sting,1.00,0.0000,0.0605,within_ceiling,5,double_hit_plus_sting,1.00,0
0.10,5_10y,2,severe,double_hit_plus_sting,1.00,0.0009,0.0605,within_ceiling,5,double_hit,0.80,1
0.10,5_10y,3,moderate,double_hit_plus_sting,1.20,0.0021,0.0376,within_ceiling,8,double_hit,1.00,1
0.10,5_10y,3,none,double_hit_plus_sting,1.20,0.0003,0.0376,within_ceiling,8,double_hit,1.00,1
0.10,5_10y,3,severe,double_hit_plus_sting,1.20,0.0059,0.0376,within_ceiling,8,double_hit,1.00,1
0.10,5_10y,4,moderate,double_hit_plus_sting,1.50,0.0295,0.0300,within_ceiling,12,double_hit,1.20,1
0.10,5_10y,4,none,double_hit_plus_sting,1.50,0.0092,0.0300,within_ceiling,12,double_hit,1.20,1
0.10,5_10y,4,severe,double_hit_plus_sting,1.50,0.0559,0.0300,within_ceiling,12,double_hit,1.20,1
0.10,5_10y,5,moderate,double_hit,1.50,0.0853,0.0862,within_ceiling,20,double_hit,1.50,0
0.10,5_10y,5,none,double_hit,1.50,0.0272,0.0862,within_ceiling,20,double_hit,1.50,0
