scenario,placement_asymmetry_enabled,age_group,sex,initial_grade,tortuosity_index,technique,n_sites,deflux_volume_ml,reflux_fraction,obstruction_index,reflux_volume_ml,antegrade_volume_ml,uvj_forward_resistance_multiplier
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,0.60,0.2338,0.2690,0.1582,0.5207,5.437
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,0.80,0.2376,0.2807,0.1580,0.5093,5.672
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,1.00,0.2400,0.2882,0.1579,0.5023,5.821
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,1.20,0.2418,0.2938,0.1578,0.4972,5.933
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,1.50,0.2443,0.3018,0.1577,0.4902,6.092
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,2.00,0.2484,0.3150,0.1575,0.4790,6.356
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,0.60,0.0470,0.1363,0.0206,0.4374,2.782
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,0.80,0.0500,0.1538,0.0205,0.4090,3.134
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.00,0.0519,0.1651,0.0204,0.3930,3.358
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.20,0.0533,0.1734,0.0204,0.3820,3.525
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.50,0.0553,0.1854,0.0204,0.3676,3.764
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,2.00,0.0585,0.2052,0.0203,0.3462,4.160
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,0.60,0.5335,0.0509,6.4816,5.6320,1.064
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,0.80,0.4279,0.0567,1.1183,1.4775,1.192
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,1.00,0.0215,0.0841,0.0114,0.5492,1.739
baseline_asymmetry,1,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,1.20,0.0000,0.1830,0.0000,0.3663,3.716
