age_group,initial_grade,bbd_severity_label,baseline_technique,baseline_volume_ml,baseline_reflux_fraction,baseline_obstruction_index,no_asymmetry_technique,no_asymmetry_volume_ml,no_asymmetry_reflux_fraction,no_asymmetry_obstruction_index,no_asymmetry_selection_mode,no_asymmetry_safe_candidates_n,changed_vs_baseline,sampling_protocol
12_18m,1,none,double_hit,0.60,0.0000,0.1320,double_hit,0.60,0.0000,0.1332,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,1,moderate,double_hit,0.60,0.0000,0.1320,double_hit_plus_sting,0.60,0.0000,0.1487,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,1,severe,double_hit,0.60,0.0008,0.1320,double_hit_plus_sting,0.60,0.0001,0.1487,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,none,double_hit,0.60,0.0000,0.1315,double_hit,0.60,0.0000,0.1327,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,moderate,double_hit,0.60,0.0001,0.1315,double_hit_plus_sting,0.60,0.0000,0.1485,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,2,severe,double_hit,0.60,0.0021,0.1315,double_hit_plus_sting,0.60,0.0005,0.1485,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,none,double_hit,0.60,0.0000,0.1284,double_hit,0.60,0.0000,0.1297,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,moderate,double_hit,0.60,0.0004,0.1284,double_hit,0.60,0.0003,0.1297,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,3,severe,double_hit,0.60,0.0048,0.1284,double_hit,0.60,0.0044,0.1297,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,4,none,double_hit,0.80,0.0000,0.1328,double_hit_plus_sting,1.00,0.0000,0.1304,within_ceiling,21,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,4,moderate,double_hit,0.80,0.0013,0.1328,double_hit,0.80,0.0010,0.1341,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,4,severe,double_hit,0.80,0.0111,0.1328,double_hit_plus_sting,1.00,0.0100,0.1304,within_ceiling,21,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,5,none,hit,0.60,0.0735,0.1379,hit_plus_sting,1.00,0.0350,0.1469,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,5,moderate,double_hit_plus_sting,1.20,0.2161,0.0618,hit_plus_sting,1.00,0.1497,0.1469,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
12_18m,5,severe,double_hit_plus_sting,1.20,0.3506,0.0618,hit_plus_sting,1.00,0.2880,0.1469,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,1,none,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0.0000,0.1316,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,1,moderate,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0.0000,0.1316,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,1,severe,double_hit,0.60,0.0000,0.1313,double_hit,0.60,0.0000,0.1316,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,2,none,double_hit,0.60,0.0000,0.1308,double_hit_plus_sting,0.60,0.0000,0.1180,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,2,moderate,double_hit,0.60,0.0000,0.1308,double_hit_plus_sting,0.60,0.0000,0.1180,within_ceiling,18,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,2,severe,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1311,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,3,none,double_hit,0.60,0.0000,0.1280,double_hit_plus_sting,0.80,0.0000,0.1154,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,3,moderate,double_hit,0.60,0.0000,0.1280,double_hit_plus_sting,0.80,0.0000,0.1154,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,3,severe,double_hit,0.60,0.0001,0.1280,double_hit,0.60,0.0001,0.1283,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,4,none,double_hit,0.80,0.0000,0.1312,double_hit,0.80,0.0000,0.1315,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,4,moderate,double_hit,0.80,0.0000,0.1312,double_hit,0.80,0.0000,0.1315,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,4,severe,double_hit,0.80,0.0005,0.1312,double_hit,0.80,0.0004,0.1315,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,5,none,double_hit_plus_sting,1.50,0.0103,0.0791,double_hit_plus_sting,1.50,0.0076,0.0801,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,5,moderate,double_hit_plus_sting,1.50,0.0518,0.0791,double_hit_plus_sting,1.50,0.0403,0.0801,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,5,severe,double_hit_plus_sting,1.50,0.1192,0.0791,double_hit_plus_sting,1.50,0.0977,0.0801,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,none,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,moderate,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,severe,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,none,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.80,0.0000,0.1274,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
